HTR1A	5	10	63957874	63962507
HTR1B	6	26	77460924	77463491
HTR1D	1	17	23191895	23194729
HTR1E	6	28	86937528	87016679
HTR1F	3	27	87792492	87993787
HTR2A	13	7	46831546	46897076
HTR2B	2	64	231108230	231125042
HTR2C	23	17	114584078	114910061
HTR4	5	31	148451032	148677235
HTR5A	7	45	155070324	155087392
HTR6	1	15	19664875	19680966
HTR7	10	22	90740823	90858039
CHRM1	11	26	62908679	62921807
CHRM2	7	38	136868669	137020255
DRD2	11	47	113409605	113475691
CHRM3	1	93	239386565	239915452
CHRM4	11	18	46385098	46386608
CHRM5	15	3	33968497	34067458
ADRA1A	8	8	26748150	26867278
ADRA1B	5	35	159865080	159973012
ADRA1D	20	2	4220630	4249287
ADRA2A	10	31	111077029	111080907
ADRA2B	2	25	96112876	96116571
ADRA2C	4	4	3766348	3768526
ADRB1	10	32	114043866	114046904
ADRB2	5	31	148826611	148828623
ADRB3	8	11	37962990	37966599
DRD1	5	38	175440036	175444182
DRD3	3	32	114127580	114199407
DRD4	11	1	637269	640706
DRD5	4	6	9781634	9784009
HRH1	3	2	11137093	11263557
HRH2	5	38	175658030	175710756
HRH3	20	20	62214960	62220278
HRH4	18	5	24460637	24479961
TAAR1	6	37	132644898	132646051
AGTR1	3	42	148697784	148743008
AGTR2	23	17	116170744	116174974
APLNR	11	21	57233577	57237235
NMBR	6	39	142058330	142088799
GRPR	23	2	16123565	16153518
BRS3	23	20	136487947	136493780
BDKRB1	14	24	96256210	96268967
BDKRB2	14	24	96204679	96244166
CCKAR	4	9	26481396	26490484
CCKBR	11	6	6259806	6272127
C3AR1	12	5	8056844	8066359
C5AR1	19	47	47290023	47322066
C5AR2	19	47	47332175	47347329
EDNRA	4	31	147480917	147544954
EDNRB	13	11	77895481	77975529
FPR1	19	55	51745172	51804110
FPR2	19	55	51752026	51770531
FPR3	19	55	51795157	51826190
GALR1	18	14	77249848	77277900
GALR2	17	48	76074781	76077537
GALR3	22	12	37823382	37825485
GHSR	3	47	172443291	172448456
GNRHR	4	15	67737118	67754388
KISS1R	19	1	917287	921005
MCHR1	22	15	40678750	40682814
MCHR2	6	30	99918519	99994247
MC1R	16	46	89912119	89920973
MC2R	18	3	13882044	13915707
MC3R	20	18	56248732	56249815
MC4R	18	12	60371062	60372775
MC5R	18	3	13824149	13827323
MLNR	13	8	49220338	49222377
NMUR1	2	64	231523187	231530445
NMUR2	5	34	152391546	152433368
NPFFR1	10	16	70247329	70284004
NPFFR2	4	16	72031804	72148067
NPSR1	7	10	34658218	34878332
NPBWR1	8	14	52939182	52943734
NPBWR2	20	24	64105820	64107171
NPY1R	4	34	163323962	163344832
CXCR1	2	59	218162841	218166962
NPY2R	4	33	155208636	155217078
NPY4R	10	11	46461099	46465958
NPY5R	4	34	163343892	163351934
NPY6R	5	25	137801193	137810751
NTSR1	20	21	62708836	62762771
NTSR2	2	2	11658178	11670195
OPRD1	1	21	28812142	28871267
OPRK1	8	14	53225724	53251637
OPRM1	6	42	154010496	154246867
OPRL1	20	24	64080082	64100643
HCRTR1	1	22	31617686	31632518
HCRTR2	6	23	55106460	55282620
QRFPR	4	27	121328642	121381059
PRLHR	10	34	118589997	118595648
F2R	5	14	76716126	76735770
F2RL1	5	14	76818933	76835315
F2RL2	5	14	76615482	76623413
F2RL3	19	24	16888999	16892606
RXFP1	4	33	158315311	158653372
RXFP2	13	3	31739526	31803389
RXFP3	5	5	33936386	33938918
RXFP4	1	61	155941638	155943087
SSTR1	14	7	38207904	38213067
SSTR2	17	44	73165010	73176633
SSTR3	22	11	37204237	37212477
SSTR4	20	6	23035312	23039237
SSTR5	16	2	1078781	1080142
TACR1	2	22	75046463	75199520
TACR2	10	16	69403903	69416918
TACR3	4	24	103586031	103719985
CXCR2	2	59	218125289	218137251
TRHR	8	24	109086585	109121565
UTS2R	17	55	82371400	82375586
AVPR1A	12	27	63142759	63151201
AVPR1B	1	81	206106936	206117699
AVPR2	23	23	153902531	153907166
OXTR	3	1	8750408	8769628
CMKLR1	12	37	108288044	108339317
CCR1	3	13	46201711	46208313
CCR2	3	13	46353744	46360940
CCR3	3	13	46163604	46266706
CCR4	3	7	32951644	32956349
CCR5	3	13	46370854	46376206
CCR6	6	46	167111807	167139696
CCR7	17	26	40553769	40565472
CCR8	3	10	39329709	39333680
CCR9	3	13	45886504	45903175
CCR10	17	29	42678889	42683917
CXCR3	23	12	71615916	71618511
CXCR4	2	38	136114349	136118149
CXCR5	11	50	118883892	118897787
CXCR6	3	13	45940933	45948351
CX3CR1	3	10	39263495	39281735
XCR1	3	13	46017007	46027487
ACKR1	1	64	159203307	159206500
ACKR2	3	11	42804752	42887974
ACKR3	2	67	236567787	236582354
ACKR4	3	39	132597270	132618967
CCRL2	3	13	46407166	46412997
FSHR	2	14	48962157	49154527
LHCGR	2	14	48686774	48755730
TSHR	14	20	80954989	81146306
PROKR1	2	18	68643579	68658251
PROKR2	20	3	5299218	5316954
FFAR1	19	33	35351552	35353862
FFAR2	19	33	35443907	35451767
FFAR3	19	33	35358460	35360489
FFAR4	10	23	93566665	93604480
GPR42	19	33	35370929	35372962
LTB4R	14	4,5	24311450	24318036
LTB4R2	14	4	24305734	24312053
